,Zip Code,City,County
635,08721,Bayville,Ocean
636,08722,Beachwood,Ocean
637,08723,Brick,Ocean
638,08724,Brick,Ocean
639,08730,Brielle,Monmouth
640,08731,Forked River,Ocean
641,08732,Island Heights,Ocean
642,08733,Lakehurst,Ocean
643,08734,Lanoka Harbor,Ocean
644,08735,Lavallette,Ocean
645,08736,Manasquan,Monmouth
646,08738,Mantoloking,Ocean
647,08739,Normandy Beach,Ocean
648,08740,Ocean Gate,Ocean
649,08741,Pine Beach,Ocean
650,08742,Point Pleasant Beach,Ocean
651,08750,Sea Girt,Monmouth
652,08751,Seaside Heights,Ocean
653,08752,Seaside Park,Ocean
654,08753,Toms River,Ocean
655,08754,Toms River,Ocean
656,08755,Toms River,Ocean
657,08756,Toms River,Ocean
658,08757,Toms River,Ocean
659,08758,Waretown,Ocean
660,08759,Manchester Township,Ocean
661,08801,Annandale,Hunterdon
662,08802,Asbury,Hunterdon
663,08803,Baptistown,Hunterdon
664,08804,Bloomsbury,Hunterdon
665,08805,Bound Brook,Somerset
666,08807,Bridgewater,Somerset
667,08808,Broadway,Warren
668,08809,Clinton,Hunterdon
669,08810,Dayton,Middlesex
670,08812,Dunellen,Middlesex
671,08816,East Brunswick,Middlesex
672,08817,Edison,Middlesex
673,08818,Edison,Middlesex
674,08820,Edison,Middlesex
675,08821,Flagtown,Somerset
676,08822,Flemington,Hunterdon
677,08823,Franklin Park,Somerset
678,08824,Kendall Park,Middlesex
679,08825,Frenchtown,Hunterdon
680,08826,Glen Gardner,Hunterdon
681,08827,Hampton,Hunterdon
682,08828,Helmetta,Middlesex
683,08829,High Bridge,Hunterdon
684,08830,Iselin,Middlesex
685,08831,Monroe Township,Middlesex
686,08832,Keasbey,Middlesex
687,08833,Lebanon,Hunterdon
688,08834,Little York,Hunterdon
689,08835,Manville,Somerset
690,08836,Martinsville,Somerset
691,08837,Edison,Middlesex
692,08840,Metuchen,Middlesex
693,08844,Hillsborough,Somerset
694,08846,Middlesex,Middlesex
695,08848,Milford,Hunterdon
696,08850,Milltown,Middlesex
697,08852,Monmouth Junction,Middlesex
698,08853,Neshanic Station,Somerset
699,08854,Piscataway,Middlesex
700,08855,Piscataway,Middlesex
701,08857,Old Bridge,Middlesex
702,08858,Oldwick,Hunterdon
703,08859,Parlin,Middlesex
704,08861,Perth Amboy,Middlesex
705,08862,Perth Amboy,Middlesex
706,08863,Fords,Middlesex
707,08865,Phillipsburg,Warren
708,08867,Pittstown,Hunterdon
709,08868,Quakertown,Hunterdon
710,08869,Raritan,Somerset
711,08870,Readington,Hunterdon
712,08871,Sayreville,Middlesex
713,08872,Sayreville,Middlesex
714,08873,Somerset,Somerset
715,08875,Somerset,Somerset
716,08876,Somerville,Somerset
717,08879,South Amboy,Middlesex
718,08880,South Bound Brook,Somerset
719,08882,South River,Middlesex
720,08884,Spotswood,Middlesex
721,08885,Stanton,Hunterdon
722,08886,Stewartsville,Warren
723,08887,Three Bridges,Hunterdon
724,08888,Whitehouse,Hunterdon
725,08889,Whitehouse Station,Hunterdon
726,08890,Zarephath,Somerset
727,08896,Raritan,Somerset
728,08899,Edison,Middlesex
729,08901,New Brunswick,Middlesex
730,08902,North Brunswick,Middlesex
731,08903,New Brunswick,Middlesex
732,08904,Highland Park,Middlesex
733,08905,New Brunswick,Middlesex
734,08906,New Brunswick,Middlesex
735,08922,New Brunswick,Middlesex
736,08933,New Brunswick,Middlesex
737,08988,New Brunswick,Middlesex
738,08989,New Brunswick,Middlesex
