id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
3402565,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7107,973,673779,0,40.7594056,-74.1919922,38894,28130,33129,1414.406358
3402575,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7103,973,701912,0,40.744956,-74.2038062,44597,29426,51770,425.3047214
3402585,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7103,973,214167,0,40.7359373,-74.2008767,35505,30079,32110,400.8098567
3402595,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7112,973,504433,0,40.7108063,-74.223075,58365,39325,51640,730.8748047
3402605,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7106,973,351902,0,40.7200828,-74.2032278,39515,28565,42388,810.4227485
3402615,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7105,973,203449,0,40.7240163,-74.1537615,69971,60264,46173,653.6404396
3402625,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7102,973,806564,0,40.7341337,-74.1767784,34812,26273,33372,1347.679413
3402635,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7104,973,603400,0,40.7741049,-74.1674883,40089,27429,39933,1706.979782
3402765,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7103,973,478035,0,40.7349696,-74.2058432,42871,28690,38636,514.4760175
34024675,34,New Jersey,NJ,Atlantic County,Newfield,Absecon city,Track,Track,8344,856,32262124,410966,39.5631405,-75.0195102,81965,72623,57525,204.8557775
34021865,34,New Jersey,NJ,Atlantic County,Newton,Absecon city,Track,Track,7860,973,23414403,858855,41.0086043,-74.7163057,121391,110465,74484,405.1676928
34027795,34,New Jersey,NJ,Atlantic County,Newton,Absecon city,Track,Track,7860,973,23414403,858855,41.0086043,-74.7163057,121747,111307,70334,137.9870436
3401785,34,New Jersey,NJ,Warren County,Newton,Johnsonburg,CDP,place,7860,908,508591,0,40.965072,-74.878177,119528,300000,80919,9.93234839
3402185,34,New Jersey,NJ,Atlantic County,North Arlington,Absecon city,Track,Track,7031,201,1335955,147072,40.793858,-74.1380763,93675,85700,63352,979.0093148
34022605,34,New Jersey,NJ,Atlantic County,North Arlington,Absecon city,Track,Track,7031,201,8099233,713719,40.7940315,-74.1053146,97613,100606,66869,206.1491105
34022695,34,New Jersey,NJ,Atlantic County,North Arlington,Absecon city,Track,Track,7031,201,615307,0,40.7843013,-74.1359075,88176,78756,54585,191.3860748
3401885,34,New Jersey,NJ,Bergen County,North Arlington,North Arlington,Borough,place,7031,201,6434383,117804,40.786256,-74.12622,83894,69999,61664,3011.452295
34024965,34,New Jersey,NJ,Atlantic County,North Bergen,Absecon city,Track,Track,7047,201,364742,0,40.8078624,-74.0054058,64660,300000,51667,203.3955631
34024975,34,New Jersey,NJ,Atlantic County,North Bergen,Absecon city,Track,Track,7047,201,332818,0,40.7962258,-74.0046963,70074,50114,64808,308.3231864
34024995,34,New Jersey,NJ,Atlantic County,North Bergen,Absecon city,Track,Track,7047,201,600560,0,40.780865,-74.0322953,78124,72701,54255,258.7845564
34021195,34,New Jersey,NJ,Atlantic County,North Brunswick,Absecon city,Track,Track,8902,732,3260258,0,40.4720721,-74.44781,69838,62871,50723,755.877219
34025765,34,New Jersey,NJ,Atlantic County,North Brunswick,Absecon city,Track,Track,8902,732,3017603,0,40.4627852,-74.4920028,71780,45689,59545,403.0885232
34027245,34,New Jersey,NJ,Atlantic County,North Haledon,Absecon city,Track,Track,7508,973,8950071,114994,40.9636178,-74.1852806,112774,300000,73538,137.9580827
34026005,34,New Jersey,NJ,Atlantic County,North Middletown,Absecon city,Track,Track,7748,732,3333526,4921412,40.4405777,-74.1022577,77315,300000,52335,217.0569457
34022155,34,New Jersey,NJ,Atlantic County,Northfield,Absecon city,Track,Track,8225,609,1866016,0,39.362891,-74.5556004,63763,49448,51819,138.4278951
34022205,34,New Jersey,NJ,Atlantic County,Northvale,Absecon city,Track,Track,7647,201,5863944,25948,41.0063637,-73.9427715,106081,101809,68988,217.9444083
3401895,34,New Jersey,NJ,Bergen County,Norwood,Norwood,Borough,place,7648,201,7213203,22642,40.992252,-73.950917,118113,94877,81967,784.3785581
34024135,34,New Jersey,NJ,Atlantic County,Nutley,Absecon city,Track,Track,7110,973,1556379,5828,40.8297682,-74.1589109,122578,300000,64756,85.75960929
34024145,34,New Jersey,NJ,Atlantic County,Nutley,Absecon city,Track,Track,7110,973,1702338,86044,40.8144901,-74.1410494,79868,77013,49819,299.4741437
34024155,34,New Jersey,NJ,Atlantic County,Nutley,Absecon city,Track,Track,7110,973,1300516,0,40.8220183,-74.1660219,124539,100575,69175,61.89174079
3402675,34,New Jersey,NJ,Atlantic County,Nutley,Absecon city,Track,Track,7110,973,1175823,8937,40.8125569,-74.1575154,69279,55678,59262,1094.33937
34022705,34,New Jersey,NJ,Atlantic County,Oakland,Absecon city,Track,Track,7436,201,4771738,34552,41.0360028,-74.2211291,164415,300000,64778,63.18984143
34023615,34,New Jersey,NJ,Atlantic County,Oaklyn,Absecon city,Track,Track,8107,856,1697663,60180,39.8924392,-75.0823209,78820,70881,55384,275.1514603
34026215,34,New Jersey,NJ,Atlantic County,Ocean,Absecon city,Track,Track,7712,732,4116769,17198,40.2394675,-74.0639309,138378,137576,74768,137.5197538
34023655,34,New Jersey,NJ,Atlantic County,Ocean City,Absecon city,Track,Track,8226,609,1939844,4344887,39.2977674,-74.5781197,112218,74310,85918,143.0240711
34021605,34,New Jersey,NJ,Atlantic County,Ocean Gate,Absecon city,Track,Track,8740,732,1172942,748991,39.9277058,-74.1306149,73310,70087,54133,419.9745938
34021325,34,New Jersey,NJ,Atlantic County,Oceanport,Absecon city,Track,Track,7757,732,6393708,1483529,40.3163133,-74.0158973,101124,91397,72964,897.7571709
3401905,34,New Jersey,NJ,Sussex County,Ogdensburg,Ogdensburg,Borough,place,7439,973,5707301,112705,41.08009,-74.597626,91850,80611,58350,344.9422733
34025865,34,New Jersey,NJ,Atlantic County,Old Bridge,Absecon city,Track,Track,8857,732,14499273,280798,40.4154646,-74.3262613,73734,63064,42898,603.7007044
34022525,34,New Jersey,NJ,Atlantic County,Old Tappan,Absecon city,Track,Track,7675,201,8626094,2244517,41.0232821,-73.9842418,126112,105133,90857,164.3236127
34022715,34,New Jersey,NJ,Atlantic County,Oradell,Absecon city,Track,Track,7649,201,2734638,60212,40.9498249,-74.0336664,121729,300000,69093,174.0895154
34024065,34,New Jersey,NJ,Atlantic County,Orange,Absecon city,Track,Track,7050,973,540384,0,40.7642942,-74.2204776,37679,32716,28427,420.653333
34024335,34,New Jersey,NJ,Atlantic County,Orange,Absecon city,Track,Track,7050,973,444479,0,40.7680675,-74.2244038,37682,31760,28838,412.9160747
34024345,34,New Jersey,NJ,Atlantic County,Orange,Absecon city,Track,Track,7050,973,849760,5154,40.7633953,-74.2353303,37950,30008,32293,744.3117653
3402725,34,New Jersey,NJ,Atlantic County,Orange,Absecon city,Track,Track,7050,973,849760,5154,40.7633953,-74.2353303,34701,27680,31362,1730.466886
34022725,34,New Jersey,NJ,Atlantic County,Palisades Park,Absecon city,Track,Track,7650,201,533256,0,40.848253,-73.9931252,87153,86165,60565,139.5866071
3402255,34,New Jersey,NJ,Atlantic County,Palmyra,Absecon city,Track,Track,8065,856,1931515,108061,39.9934802,-75.0139687,96638,76188,70753,369.2741263
3402195,34,New Jersey,NJ,Atlantic County,Paramus,Absecon city,Track,Track,7652,201,4521063,7133,40.9402325,-74.0542447,107895,92029,71271,986.4072724
34022735,34,New Jersey,NJ,Atlantic County,Paramus,Absecon city,Track,Track,7652,201,4521063,7133,40.9402325,-74.0542447,132491,300000,65405,71.1266064
34022745,34,New Jersey,NJ,Atlantic County,Paramus,Absecon city,Track,Track,7652,201,5865579,0,40.9637313,-74.0651952,125470,100939,80804,69.76031511
34022755,34,New Jersey,NJ,Atlantic County,Park Ridge,Absecon city,Track,Track,7656,201,3536913,3939,41.0389364,-74.0539866,155339,151584,80121,152.9837017
3401915,34,New Jersey,NJ,Bergen County,Park Ridge,Park Ridge,Borough,place,7656,201,6752350,54435,41.036183,-74.044293,121647,107499,76216,1038.043093
34021225,34,New Jersey,NJ,Atlantic County,Parlin,Absecon city,Track,Track,8859,732,4241180,3074935,40.464969,-74.2607263,91816,74927,63488,763.4455582
34021235,34,New Jersey,NJ,Atlantic County,Parlin,Absecon city,Track,Track,8859,732,1732079,0,40.4493435,-74.3046767,91850,89047,51640,318.8471774
34025835,34,New Jersey,NJ,Atlantic County,Parlin,Absecon city,Track,Track,8859,732,2710470,7167,40.4683628,-74.335274,79995,69075,53028,130.589775
34025845,34,New Jersey,NJ,Atlantic County,Parlin,Absecon city,Track,Track,8859,732,3079179,84653,40.4562608,-74.2843404,88174,300000,42661,52.89606246
34025875,34,New Jersey,NJ,Atlantic County,Parlin,Absecon city,Track,Track,8859,732,1732079,0,40.4493435,-74.3046767,90719,300000,54118,166.1910658
34021445,34,New Jersey,NJ,Atlantic County,Parsippany,Absecon city,Track,Track,7054,973,1146042,52796,40.8791204,-74.3756201,102981,95254,59483,420.6678389
34026535,34,New Jersey,NJ,Atlantic County,Parsippany,Absecon city,Track,Track,7054,973,1594378,0,40.8831604,-74.3878711,115474,300000,62480,88.39173755
34026545,34,New Jersey,NJ,Atlantic County,Parsippany,Absecon city,Track,Track,7054,973,5120338,321741,40.8623045,-74.3631316,67780,63636,40109,420.3463051
34026555,34,New Jersey,NJ,Atlantic County,Parsippany,Absecon city,Track,Track,7054,973,4507222,712142,40.8500229,-74.4443984,99905,97512,56872,204.3517657
34021675,34,New Jersey,NJ,Atlantic County,Passaic,Absecon city,Track,Track,7055,973,572594,13259,40.8620016,-74.1222492,33746,21918,32806,1064.423108
34027255,34,New Jersey,NJ,Atlantic County,Passaic,Absecon city,Track,Track,7055,973,504737,0,40.8687628,-74.1291428,57659,37136,44754,172.9589326
34027265,34,New Jersey,NJ,Atlantic County,Passaic,Absecon city,Track,Track,7055,973,690539,8014,40.8458783,-74.1386518,132678,300000,75406,86.895307
34027275,34,New Jersey,NJ,Atlantic County,Passaic,Absecon city,Track,Track,7055,973,603976,0,40.8539301,-74.1299464,49130,31192,49987,539.7989615
34027285,34,New Jersey,NJ,Atlantic County,Passaic,Absecon city,Track,Track,7055,973,369763,0,40.8622707,-74.131012,30740,28196,18979,393.6540662
34021685,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7502,973,1492428,90936,40.9160008,-74.1957681,83788,78042,59833,971.2154737
34021695,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7514,973,401624,0,40.9242986,-74.1499553,48039,32375,48186,843.3910045
34021705,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7501,973,218524,0,40.9118113,-74.1602174,26115,23196,21560,386.6161041
34021715,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7514,973,1054174,0,40.8986001,-74.1519606,55560,37997,52613,888.5356304
34021745,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7522,973,538505,54552,40.922853,-74.1748648,28788,17076,28854,1095.069503
34027295,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7502,973,531442,0,40.9248187,-74.1927553,56567,35508,54416,441.3770515
34027305,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7522,973,718381,0,40.9251754,-74.1843935,39837,26263,36220,277.3148532
34027315,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7524,973,589293,21983,40.9331231,-74.1576349,26419,21788,18801,182.4948388
34027325,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7514,973,761994,41255,40.9293892,-74.1488975,60966,38624,59153,289.7232434
34027335,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7501,973,348819,0,40.9225228,-74.1630577,33586,25563,30469,385.7859384
34027345,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7501,973,953859,59756,40.9091589,-74.1862517,48078,51376,26541,183.7567468
34027355,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7501,973,437690,0,40.9153922,-74.1576078,39501,27203,38139,381.1765943
34027365,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7514,862,1542401,75825,40.9188118,-74.1384458,64101,300000,70872,210.4954207
34027375,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7501,973,615613,0,40.9058058,-74.1613004,21466,14975,29180,714.3058399
34027385,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7503,973,697454,0,40.8971883,-74.1439983,55167,52033,36834,196.8884322
34027485,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7501,973,1567903,119667,40.8990283,-74.1938409,89314,92281,57122,258.1545346
34027495,34,New Jersey,NJ,Atlantic County,Paterson,Absecon city,Track,Track,7522,973,538505,54552,40.922853,-74.1748648,5000,4790,2451,13.9972
34024535,34,New Jersey,NJ,Atlantic County,Paulsboro,Absecon city,Track,Track,8066,856,4908264,1835517,39.8399753,-75.2399603,29229,300000,21597,128.0984939
34023115,34,New Jersey,NJ,Atlantic County,Pemberton,Absecon city,Track,Track,8068,609,1515067,44848,39.9708193,-74.6854983,76594,67184,53948,318.8189801
34025405,34,New Jersey,NJ,Atlantic County,Pennington,Absecon city,Track,Track,8534,609,2476125,5359,40.3249229,-74.7887796,143985,300000,65846,64.1598091
34023325,34,New Jersey,NJ,Atlantic County,Pennsauken,Absecon city,Track,Track,8105,856,1031343,0,39.9388158,-75.0761138,57451,300000,39639,135.2628089
3402385,34,New Jersey,NJ,Atlantic County,Pennsauken,Absecon city,Track,Track,8109,856,1611904,0,39.9623532,-75.0388219,70987,66937,54500,594.1870453
34027535,34,New Jersey,NJ,Atlantic County,Pennsville,Absecon city,Track,Track,8070,856,27281122,3959706,39.5978191,-75.511333,72581,51098,51684,200.2926864
3401925,34,New Jersey,NJ,Salem County,Pennsville,Pennsville,CDP,place,8070,856,26097768,928579,39.653939,-75.508772,68767,57807,49340,2606.133844
34021175,34,New Jersey,NJ,Atlantic County,Perth Amboy,Absecon city,Track,Track,8861,848,544245,0,40.5246265,-74.284444,76067,67184,56846,446.8071757
34025675,34,New Jersey,NJ,Atlantic County,Perth Amboy,Absecon city,Track,Track,8861,732,4152527,252692,40.530854,-74.2938116,46338,35054,34171,386.9512415
34025695,34,New Jersey,NJ,Atlantic County,Perth Amboy,Absecon city,Track,Track,8861,732,2070705,37971,40.5348823,-74.2801389,80870,66031,60023,441.1467519
34025705,34,New Jersey,NJ,Atlantic County,Perth Amboy,Absecon city,Track,Track,8861,732,472411,0,40.51999,-74.2727323,79593,62557,51842,228.1168358
34025715,34,New Jersey,NJ,Atlantic County,Perth Amboy,Absecon city,Track,Track,8861,732,648177,0,40.5166418,-74.2805513,68998,55559,56924,324.3854363
34025725,34,New Jersey,NJ,Atlantic County,Perth Amboy,Absecon city,Track,Track,8861,732,695320,989758,40.5006514,-74.2696942,58304,38027,56555,401.6808619
34028255,34,New Jersey,NJ,Atlantic County,Phillipsburg,Absecon city,Track,Track,8865,908,1229810,27061,40.6918378,-75.1959475,57513,56673,31434,176.4891049
34028305,34,New Jersey,NJ,Atlantic County,Phillipsburg,Absecon city,Track,Track,8865,908,61387431,981305,40.7477011,-75.122777,99307,90424,68223,128.4921208
34028325,34,New Jersey,NJ,Atlantic County,Phillipsburg,Absecon city,Track,Track,8865,908,34589818,924350,40.6364833,-75.1749057,71763,62259,46020,92.06255403
3401755,34,New Jersey,NJ,Warren County,Phillipsburg,Harmony,CDP,place,8865,908,3210368,0,40.750125,-75.140036,77782,300000,40509,66.22878191
34027005,34,New Jersey,NJ,Atlantic County,Pine Beach,Absecon city,Track,Track,8741,732,1589664,10051,39.9360583,-74.1697895,100817,102910,63214,125.3897078
34026495,34,New Jersey,NJ,Atlantic County,Pine Brook,Absecon city,Track,Track,7058,973,10269737,478265,40.86881,-74.3494153,157448,300000,76134,108.556275
34023635,34,New Jersey,NJ,Atlantic County,Pine Hill,Absecon city,Track,Track,8021,856,7741852,129528,39.7841836,-74.9696939,60102,45786,46144,519.3149227
34021105,34,New Jersey,NJ,Atlantic County,Piscataway,Absecon city,Track,Track,8854,732,2180383,8730,40.5653566,-74.4826994,113559,108185,64892,671.4154235
34025485,34,New Jersey,NJ,Atlantic County,Piscataway,Absecon city,Track,Track,8854,732,2455198,29771,40.5683401,-74.4599415,56604,43222,47922,322.5499037
34025495,34,New Jersey,NJ,Atlantic County,Piscataway,Absecon city,Track,Track,8854,732,10631356,64253,40.5474534,-74.4505106,114218,300000,58550,41.22878619
34025505,34,New Jersey,NJ,Atlantic County,Piscataway,Absecon city,Track,Track,8854,732,7885054,128427,40.535385,-74.485589,114706,300000,51925,135.7849522
34024625,34,New Jersey,NJ,Atlantic County,Pitman,Absecon city,Track,Track,8071,856,2555743,17928,39.7370578,-75.1236416,100207,300000,66812,219.6552858
3402805,34,New Jersey,NJ,Atlantic County,Pitman,Absecon city,Track,Track,8071,856,2555743,17928,39.7370578,-75.1236416,86478,70826,58046,699.0017588
34025165,34,New Jersey,NJ,Atlantic County,Pittstown,Absecon city,Track,Track,8867,908,73996697,761959,40.5945319,-75.0265659,88760,79900,60517,196.687029
34021985,34,New Jersey,NJ,Atlantic County,Plainfield,Absecon city,Track,Track,7060,908,2579910,13966,40.6063965,-74.4059678,82217,61573,66547,883.7549142
34028215,34,New Jersey,NJ,Atlantic County,Plainfield,Absecon city,Track,Track,7060,908,1105706,0,40.6294966,-74.4129013,68847,58327,54444,180.986975
34028225,34,New Jersey,NJ,Atlantic County,Plainfield,Absecon city,Track,Track,7060,908,1308388,0,40.6178579,-74.4085554,77696,56504,61938,254.3240351
34028235,34,New Jersey,NJ,Atlantic County,Plainfield,Absecon city,Track,Track,7063,908,1521078,0,40.6013324,-74.4413169,60550,42979,47824,321.5502719
34028245,34,New Jersey,NJ,Atlantic County,Plainfield,Absecon city,Track,Track,7060,908,2579910,13966,40.6063965,-74.4059678,47610,26895,48206,272.9593771
34021265,34,New Jersey,NJ,Atlantic County,Plainsboro,Absecon city,Track,Track,8536,609,8367702,303773,40.3184056,-74.5757384,107549,90411,73366,888.4301224
34025955,34,New Jersey,NJ,Atlantic County,Plainsboro,Absecon city,Track,Track,8536,609,12133734,541994,40.344246,-74.5979163,180672,300000,66721,133.3148851
34025965,34,New Jersey,NJ,Atlantic County,Plainsboro,Absecon city,Track,Track,8536,609,970224,7937,40.3339216,-74.566133,89394,78860,56255,311.9472456
